SKIP;Пропустить
CREDITS;Авторы
PRODUCTION;Production
GAME_DESIGN;Гейм-дизайн
ART;Арт
SOUND_MUSIC;Звуки и музыка
BUSTED;Попался!
WELL_DONE;Отлично!

KEY_TODAY;-----------/nDoor key/ntoday:/n%s/n-----------
README;use arrows/nto select/ndifferent/nfiles

HELP_CAMERA;Если остановиться/nнеподвижно в тени -/nкамеры и охранники/nтебя не заметят./nПопробуй пройти мимо/nэтой тренировочной/nкамеры.
HELP_CAMERA2;Move
HELP_CAMERA3;or
HELP_CAMERA4;to
HELP_CAMERA5;close this note.

HELP_DOOR_COODE;Код двери:
HELP_DOOR_COODE1;На некоторых дверях/nесть кодовый замок. Нажми
HELP_DOOR_COODE2;на
HELP_DOOR_COODE3;и введи код:

HELP_LASER;Лазерные ворота/nактивируют/nсигнализацию./nЧтобы выключить/nее - необходимо/nперерезать/nправильный кабель/nв электрощитке внизу

HELP_ROBOT;Это тренировочный/nробот, который
HELP_ROBOT1;имитирует охранника./nНажми
HELP_ROBOT2;на
HELP_ROBOT3;, чтобы
HELP_ROBOT4;ударить его битой

HELP_DOG;Собаки - опасные/nвраги.
HELP_DOG2;Лучший способ/nизбавиться от них -/nударить их сзади.

HELP_COMPUTER;Иногда код от двери/nможет быть спрятан/nв файлах компьютера.
HELP_COMPUTER2;Проверь-ка тут!

HELP_SECURITY;Охранник/nвыглядит крутым/nпарнем!/nДаже не думай/nоглушить его своей/nбитой, просто беги/nи прячься.  


TUT2;Используй стрелки,
TUT2_2;чтобы управлять Бобом
TUT3;Нажми
TUT3_2;чтобы проверить этот/nтайник/nна наличие денег
TUT6;Нажимай
TUT6_2;чтобы входить в двери
TUT7;Нажми
TUT7_2;чтобы читать записку
TUT8;Нажми
TUT8_2;чтобы открыть/nзамок отмычкой
TUT9;чтобы регулировать/nотмычку нажми
TUT9_2;и
TUT9_3;чтобы открыть
TUT12;и
TUT12_2;для выбора кабеля./nНажми на кусачки,/nчтобы разрезать его
TUT13;Нажми
TUT13_2;чтобы завершить
TUT14;Тебе необходимо/nполучить/nспециальный/nнавык в магазине,/nчтобы открывать/nзолотые замки.
TUT15;
TUT15_2;Используй чтобы/nпередвигать Боба/nна лестницах
TUT_CAMERA;Wait in the shadow/nuntil camera turns/naway
TUT_CAMERA2;Camera also cannot/nsee you when you/nstand under it

CONTINUE;Продолжить
LEVELS_MAP;Карта уровней
MORE_GAMES;Больше игр
LEADERBOARD;Лидеры
PAUSE;Пауза

BACK;Назад
BACK_TO_GAME;Назад к игре
CLEAR_PROGRESS;Очистить прогресс
CLEAR_PROGRESS2;Очистить/nпрогресс
CLEAR_PROGRESS_TEXT;Do you really want/nto clear the/nprogress and start/nfrom the beginning?

SKILLS;Skills
BUY;Купить
MONEY;Деньги:
ADVANSED_PICKLOCK;Улучшенная отмычка
ADVANSED_PICKLOCK2;Открывает золотые замки!
RUNNER;Бегун
RUNNER2;Двигайся быстрее!
LUCKY_BEGGAR;Lucky Beggar
LUCKY_BEGGAR2;Even more loot! 
STING_LIKE_A_BEE;Жаль как пчела!
STING_LIKE_A_BEE2;Вырубает даже самых сильных/nохранников!
NINJA;Ниндзя
NINJA2;Передвигайся незаметно

TOTAL;Общий:
GAME_SCORE;Счет
MAIN_MENU;Главное меню


START1;Хм? Что за шум?
EVIDENCE1;Похоже, что кто-то оставил мне подарок.
FINISH1;Кто-то хочет, чтобы я это проверил./nНо зачем?

START_LEVEL2;Издательство "Crimeburg daily"./nЯ должен проверить картотеку.
EVIDENCE2;Кто-то очень хотел остановить этого/nжурналиста! Интересно почему...
FINISH2;Время навестить адвоката.

START_LEVEL3;Ок, дом адвоката./nДолжна быть какая-то зацепка
EVIDENCE3;Интересное фото, оно может помочь.
FINISH3;Дом в плохом районе./nЧто же ты тут прячешь?

START4;С каких это пор копы ведут дела/nс мошенниками?
EVIDENCE4;Шеф полиции замешан в похищении!/nВот это поворот!
FINISH_LEVEL4;It's time to go check in at the police station.

START_LEVEL5;Служить и защищать, да?
EVIDENCE5;Looks like arresting Lester gave/nthe chief's career a real shot in the arm!
FINISH5;Время посетить большой дом!

START6;Надеюсь, Лестер любит домашнее печенье/nи знает что-то интересное.
START_LEVEL6;Ок, кто сказал, что будет легко?
EVIDENCE6;Это значит, что шеф и Дон Кармано -/nсоучастники! Дело становится интересным

START7;Давай Кармано, едь, я просто осмотрюсь.
START_LEVEL7;Что же мы здесь найдем?/nДелайте ставки, господа!
EVIDENCE7;Не могу поверить!/nНаш мэр любит дружеский покер по вечерам!

START8;У мэра отличный вкус!/nПочему он прячется в таком огромном доме?
EVIDENCE8;Похоже на ключ к депозитной ячейке/nв банке!

START_LEVEL9;Сюжет набирает оборотов!/nМне нужно поторопиться!
EVIDENCE9;Так, так! У нас тут улик достаточно/nна десять тюремных заключений!/nВремя выбираться!
FINISH9;Похоже что Санта принес ранний подарок/nк Рождеству для Окружного прокурора
FINISH9_2;Они получили по заслугам./nВот и конец преступности в городе!
FINISH9_3;Но почему у меня ощущение, что это все/nбыло только началом чего-то большего?

COMICS1;С самого детства Боб знал о своей судьбе.
COMICS2;Он развивал необходимые навыки годами.
COMICS3;Он упорно тренировался.
COMICS4;Наконец он нашел стоящую цель...
COMICS5;...для своей борьбы.
