SKIP;Atlamak
CREDITS;Yazarlar
PRODUCTION;Production
GAME_DESIGN;Oyun dizaynı
ART;Art
SOUND_MUSIC;Sesler ve müzik
BUSTED;Yakalandın!
WELL_DONE;Pekiyi!

KEY_TODAY;-----------/nDoor key/ntoday:/n%s/n-----------
README;use arrows/nto select/ndifferent/nfiles

HELP_CAMERA;Gölgede hareketsiz/ndurursan - kamera/nve korumalar seni/ngöremezler./nBu eğitim/n  kameranın  yanından  /ngeçmeye çalış.
HELP_CAMERA2;Move
HELP_CAMERA3;or
HELP_CAMERA4;to
HELP_CAMERA5;close this note.

HELP_DOOR_COODE;Kapının kodu:
HELP_DOOR_COODE1;Bazı kapılarda kodlu /nkilitler var. Üstüne
HELP_DOOR_COODE2;bas
HELP_DOOR_COODE3;ve kodu gir:

HELP_LASER;Lazerli kapılar/nalarm sistemini/nçalıştırmaktadır./nAlarm sistemini/nkapatmak için/naşağıdaki elektrik/npanosunda doğru/nkabloyu kesmek gerekir.

HELP_ROBOT; Korumayı  taklit  /neden eğitim
HELP_ROBOT1;robotudur./n Onu sopa
HELP_ROBOT2;ile
HELP_ROBOT3;vurmak
HELP_ROBOT4;için bas.

HELP_DOG;Köpekler - tehlikeli/ndüşmanlardır.
HELP_DOG2;Köpeklerden/nkurtulmak/nen iyi yöntem -/nonları arkadan/nvurmaktır.

HELP_COMPUTER;Kapının kodu bazen/nbilgisayar dosyalarında/nsaklanmış olabilir.
HELP_COMPUTER2;Burayı bir kontrol et!

HELP_SECURITY;Bekçi sert bir adam/ngibi görünüyor./nOnun yarasa/nonu bayıltmak/nkalkmayın./nSen daha iyi/nçalıştırmak/nve gizlemek.


TUT2;Bob'u yönetmek
TUT2_2;için okları kullan.
TUT3;Kasada
TUT3_2;paranın olup olmadığını/nöğrenmek/niçin tuşuna bas.
TUT6;Kapılara
TUT6_2;      girmek     için     bas .      
TUT7;Notu
TUT7_2;okumak için tuşuna bas.
TUT8;Kilidi
TUT8_2;maymuncukla açmak/niçin tuşuna bas.
TUT9;maymuncuğu ayarlamak/niçin
TUT9_2;ve
TUT9_3;açmak için tuşuna bas.
TUT12;ve
TUT12_2;kablo seçimi için./nKabloyu kesmek için/npenseye bas.
TUT13;Bitirmek
TUT13_2;için bas tut.
TUT14; Altın torbaları /naçmak için/nmağazada/nözel tecrübeyi/nedinmen/ngerekir.
TUT15;Bob'u
TUT15_2;merdivenlerde/nhareket ettirmek/niçin kullan.
TUT_CAMERA;Wait in the shadow/nuntil camera turns/naway
TUT_CAMERA2;Camera also cannot/nsee you when you/nstand under it

CONTINUE;Devam
LEVELS_MAP;Düzeyler haritası
MORE_GAMES;Daha çok oyun
PAUSE;Duraklama

BACK;Geri
BACK_TO_GAME;Oyuna dön
CLEAR_PROGRESS;Süreci temizlemek
CLEAR_PROGRESS2;Süreci/ntemizlemek
CLEAR_PROGRESS_TEXT;Do you really want/nto clear the/nprogress and start/nfrom the beginning?

SKILLS;Skills
BUY;Satın almak
MONEY;Para:
ADVANSED_PICKLOCK;İyileştirilen maymuncuk
ADVANSED_PICKLOCK2;Altın kilitleri açar!
RUNNER;Koşucu
RUNNER2;Hızlı hareket et!
LUCKY_BEGGAR;Lucky Beggar
LUCKY_BEGGAR2;Even more loot! 
STING_LIKE_A_BEE;Arı gibi bat!
STING_LIKE_A_BEE2;En güçlü korumaları bile/ndevre dışı bırakır.
